,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,28.950001,29.0825,28.690001,29.0375,27.133329,115127600
1,2017-01-04,28.9625,29.127501,28.9375,29.004999,27.102953,84472400
2,2017-01-05,28.98,29.215,28.952499,29.1525,27.240786,88774400
3,2017-01-06,29.195,29.540001,29.1175,29.477501,27.544468,127007600
4,2017-01-09,29.487499,29.8575,29.485001,29.747499,27.796762,134247600
5,2017-01-10,29.692499,29.844999,29.575001,29.7775,27.8248,97848400
6,2017-01-11,29.684999,29.9825,29.65,29.9375,27.974306,110354400
7,2017-01-12,29.725,29.825001,29.5525,29.8125,27.857504,108344800
8,2017-01-13,29.7775,29.905001,29.702499,29.76,27.808445,104447600
9,2017-01-17,29.584999,30.059999,29.555,30.0,28.032709,137759200
10,2017-01-18,30.0,30.125,29.9275,29.997499,28.030375,94852000
11,2017-01-19,29.85,30.022499,29.842501,29.945,27.981319,102389200
12,2017-01-20,30.112499,30.112499,29.932501,30.0,28.032709,130391600
13,2017-01-23,30.0,30.202499,29.942499,30.02,28.051397,88200800
14,2017-01-24,29.887501,30.025,29.875,29.9925,28.025698,92844000
15,2017-01-25,30.105,30.525,30.07,30.469999,28.471889,129510400
16,2017-01-26,30.4175,30.610001,30.4,30.485001,28.485903,105350400
17,2017-01-27,30.535,30.5875,30.4,30.487499,28.488241,82251600
18,2017-01-30,30.2325,30.407499,30.165001,30.407499,28.413486,121510000
19,2017-01-31,30.2875,30.3475,30.155001,30.3375,28.34808,196804000
20,2017-02-01,31.7575,32.622501,31.752501,32.1875,30.076761,447940000
21,2017-02-02,31.995001,32.3475,31.945,32.1325,30.02537,134841600
22,2017-02-03,32.077499,32.297501,32.040001,32.27,30.153851,98029200
23,2017-02-06,32.282501,32.625,32.224998,32.572498,30.436512,107383600
24,2017-02-07,32.634998,33.022499,32.612499,32.8825,30.726185,152735200
25,2017-02-08,32.837502,33.055,32.805,33.009998,30.845325,92016400
26,2017-02-09,32.912498,33.112499,32.779999,33.105,31.068216,113399600
27,2017-02-10,33.115002,33.235001,33.012501,33.029999,30.997824,80262000
28,2017-02-13,33.27,33.455002,33.1875,33.322498,31.272329,92141600
29,2017-02-14,33.3675,33.772499,33.3125,33.755001,31.678217,132904800
30,2017-02-15,33.880001,34.067501,33.654999,33.877499,31.793184,142492400
31,2017-02-16,33.9175,33.974998,33.709999,33.837502,31.755646,90338400
32,2017-02-17,33.775002,33.9575,33.775002,33.93,31.842442,88792800
33,2017-02-21,34.057499,34.1875,33.994999,34.174999,32.07238,98028800
34,2017-02-22,34.107498,34.279999,34.0275,34.2775,32.168571,83347600
35,2017-02-23,34.345001,34.369999,34.075001,34.1325,32.032486,83152800
36,2017-02-24,33.977501,34.165001,33.82,34.165001,32.063,87106400
37,2017-02-27,34.285,34.360001,34.07,34.232498,32.126328,81029600
38,2017-02-28,34.27,34.360001,34.174999,34.247501,32.140423,93931600
39,2017-03-01,34.4725,35.037498,34.400002,34.947498,32.79734,145658400
40,2017-03-02,35.0,35.07,34.689999,34.740002,32.602619,104844000
41,2017-03-03,34.695,34.9575,34.647499,34.945,32.794998,84432400
42,2017-03-06,34.842499,34.942501,34.650002,34.834999,32.691772,87000000
43,2017-03-07,34.764999,34.994999,34.697498,34.880001,32.734005,69785200
44,2017-03-08,34.737499,34.950001,34.705002,34.75,32.612007,74828800
45,2017-03-09,34.685001,34.697498,34.262501,34.669998,32.536934,88623600
46,2017-03-10,34.8125,34.84,34.66,34.785,32.644848,78451200
47,2017-03-13,34.712502,34.857498,34.705002,34.799999,32.658928,69686800
48,2017-03-14,34.825001,34.912498,34.709999,34.747501,32.609657,61236400
49,2017-03-15,34.852501,35.1875,34.7575,35.115002,32.954552,102767200
50,2017-03-16,35.18,35.255001,35.064999,35.172501,33.008511,76928000
51,2017-03-17,35.25,35.25,34.9725,34.997501,32.844276,175540000
52,2017-03-20,35.099998,35.375,35.057499,35.365002,33.189175,86168000
53,2017-03-21,35.5275,35.700001,34.932499,34.959999,32.809082,158119600
54,2017-03-22,34.962502,35.400002,34.939999,35.355,33.179787,103440800
55,2017-03-23,35.314999,35.395,35.1525,35.23,33.062481,81385200
56,2017-03-24,35.375,35.435001,35.087502,35.16,32.996773,89582400
57,2017-03-27,34.8475,35.305,34.654999,35.220001,33.053082,94300400
58,2017-03-28,35.227501,36.009998,35.154999,35.950001,33.738171,133499200
